column_a,column_b
103685034,alecserovic
1066204172,zebra78610
1071777608,johnpodesta
1081566852,cindygarrett14
1084375028,JasonMillerinDC
1085411936,CindyMunz
109065990,RealAlexJones
1097173861,upstatecriminal
1097225142,matandsher
110071965,donaldpirl
111735130,Mike_Sand_Man
1123166701,bfinstock2_0
1150914516,nooneishere51
115681686,NetworksManager
115979444,DWStweets
1161161875,vision835
116384038,pepesgrandma
119099353,Harlan
1209317053,stevenj60329854
122111073,MzBodie
124227622,PoliticsPeach
124789225,ProudlyWeHail
125640659,GeeWhiz__
125707688,stanishr
1287018594,srfulton22
1291571430,Shawn23G
129235890,Lrihendry
1321334844,CarynBark
133028016,LaneSitzGadsden
1339835893,HillaryClinton
1340590758,gamblerbackspac
134240162,eavesdropann
136261853,kathleenagnew
1363429202,kravmaganaveet
1367531,FoxNews
1368441913,lhuffman34
1417793336,FightNowAmerica
14377605,TheDemocrats
14529929,jaketapper
1461031969,MadeleineLove
146408874,mimimayesTN
14641650,paulsteven
14669951,DRUDGE_REPORT
147248694,misstozak
148253367,lainieks
1496756359,Tonys_Rant
1499268588,roycan79
1536791610,POTUS
154108144,aniIkuriakose
15438913,MailOnline
154550390,minnamyself
15513604,foxandfriends
155651563,54Ange
15613677,toxic11
15722902,Linda_2008
1581947954,CBasnik
159009432,SoniaO529
1592453774,News__La
159334308,namusca
161469698,carehope58
16163639,NolteNC
164254921,MrPug94
16589206,wikileaks
16792067,JGonza28
16834167,ActualFlatticus
1691499066,gupdiver
16989178,JamesOKeefeIII
1722199244,1isten_up
1726476212,JDenmyer
17469289,nypost
17546242,TheSugarStudioC
17561562,slone
17629860,FBI
176678019,daliafierro
17980523,mitchellvii
18071459,MarkSimoneNY
181249422,ANOMALY1
182083010,srcurry57
18553881,narnie4
1858694449,captainbelvader
18643437,PrisonPlanet
18646108,BretBaier
1873929764,kupajo322
187716379,dojiedojie
1887528152,Bruce_LeVell
18956073,dcexaminer
189852253,sicusoc
191195321,Friochilly
19173608,JayS2629
1917731,thehill
1936536769,phil200269
194203648,darbymcgeorge
1957816716,PattiLaudan
197496309,FrankLuntz
198516386,romansun
202417547,cajunkallie
206063108,SunnyAtTheGulf
206957682,redsonic17
20713061,newtgingrich
20776147,seanspicer
2147629573,pcampos1122
2155220057,drginareghetti
215762606,HeroAssange
2164876369,RepStevenSmith
2172872273,paulthomas1020
21802725,redchuckjack
21888595,hale_razor
2189444204,WPufall
21962713,popink
22068440,mike1592
221034430,robertthedeuce
2211027127,NoHostagesTaken
221963057,beckypike34
2223453550,DBethd16
2239864518,RoKeT_gal
2252260969,KevinHorton15
2259116640,james_toles
22932667,Gia84
2297125818,dwulke
2305879171,satirist_indian
2305880564,dxguy7
2306667108,Underpressure60
2307464682,mccraw_birkie5
23240495,ramrace
23277531,Lizdolan
2329148937,GDeplorable
23477550,sueettaparks
2348158603,evangesolc
235698522,Barb138
235709466,LakersNBAEmpire
2365728494,TonyBeavers1
237348797,TGowdySC
2373735295,MiddleEastEye
23775006,woodman56
2380995036,hurbrough
2382696936,DDlschnidt
2384394751,zarember_cindy
2402434039,BaylorChrissy
240658286,Nntt26
2408083531,havrock
24127811,mtracey
241803028,melgrissom
24369345,cc125
2437753466,CandaSnyder
2452965958,DeCiccoGloria
24626122,bigbill_ontw
2467791,washingtonpost
2496377724,Meeeedge
25073877,realDonaldTrump
250994300,ELZUNIA79
2519063076,tammywalt61
2523556454,DianaChic1
